"Best Solution","Depth","Size","Fitness","Evals","Avg. Fitness","Time (s)"
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1277,1487.78,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1278,1487.7,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1279,1486.83,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1280,1486.56,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1281,1485.75,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1282,1484.92,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1283,1484.53,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1284,1483.68,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1285,1482.81,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1286,1482.61,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1287,1482.61,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1288,1482.19,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1289,1481.38,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1290,1481.31,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1291,1480.94,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1292,1480.17,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1293,1480.17,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1294,1479.85,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1295,1479.79,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1296,1478.94,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1297,1478.94,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1298,1478.06,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1299,1477.66,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1300,1477.66,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1301,1477.57,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1302,1476.73,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1303,1475.93,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1304,1475.11,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1305,1474.8,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1306,1474.8,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1307,1474.03,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1308,1474.03,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1309,1473.94,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1310,1473.86,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1311,1473.69,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1312,1473.69,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1313,1473.69,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1314,1473.56,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1315,1473.54,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1316,1473.49,
"(+ (* (* 2 x) (+ 4 x)) x)",4,9,443,1317,1473.38,
"(+ (* (* 2 x) x) x)",4,7,443,1318,1472.22,
"(+ (* (* 2 x) x) x)",4,7,443,1319,1472.15,
"(+ (* (* 2 x) x) x)",4,7,443,1320,1471.3,
"(+ (* (* 2 x) x) x)",4,7,443,1321,1470.9,
"(+ (* (* 2 x) x) x)",4,7,443,1322,1470.84,
"(+ (* (* 2 x) x) x)",4,7,443,1323,1470.84,
"(+ (* (* 2 x) x) x)",4,7,443,1324,1470.61,
"(+ (* (* 2 x) x) x)",4,7,443,1325,1470.53,
"(+ (* (* 2 x) x) x)",4,7,443,1326,1470.53,
"(+ (* (* 2 x) x) x)",4,7,443,1327,1470.53,
"(+ (* (* 2 x) x) x)",4,7,443,1328,1470.43,
"(+ (* (* 2 x) x) x)",4,7,443,1329,1470.43,
"(+ (* (* 2 x) x) x)",4,7,443,1330,1469.27,
"(+ (* (* 2 x) x) x)",4,7,443,1331,1469.27,
"(+ (* (* 2 x) x) x)",4,7,443,1332,1468.94,
"(+ (* (* 2 x) x) x)",4,7,443,1333,1468.84,
"(+ (* (* 2 x) x) x)",4,7,443,1334,1468.68,
"(+ (* (* 2 x) x) x)",4,7,443,1335,1467.81,
"(+ (* (* 2 x) x) x)",4,7,443,1336,1466.95,
"(+ (* (* 2 x) x) x)",4,7,443,1337,1466.95,
"(+ (* (* 2 x) x) x)",4,7,443,1338,1465.79,
"(+ (* (* 2 x) x) x)",4,7,443,1339,1465.79,
"(+ (* (* 2 x) x) x)",4,7,443,1340,1465.75,
"(+ (* (* 2 x) x) x)",4,7,443,1341,1464.89,
"(+ (* (* 2 x) x) x)",4,7,443,1342,1464.6,
"(+ (* (* 2 x) x) x)",4,7,443,1343,1463.79,
"(+ (* (* 2 x) x) x)",4,7,443,1344,1463.5,
"(+ (* (* 2 x) x) x)",4,7,443,1345,1462.6,
"(+ (* (* 2 x) x) x)",4,7,443,1346,1461.79,
"(+ (* (* 2 x) x) x)",4,7,443,1347,1461.79,
"(+ (* (* 2 x) x) x)",4,7,443,1348,1461.79,
"(+ (* (* 2 x) x) x)",4,7,443,1349,1461.6,
"(+ 3 (* (+ 3 x) (* 2 x)))",4,9,110,1350,1460.12,
"(+ 3 (* (+ 3 x) (* 2 x)))",4,9,110,1351,1459.25,
"(+ 3 (* (+ 3 x) (* 2 x)))",4,9,110,1352,1458.89,
"(+ 3 (* (+ 3 x) (* 2 x)))",4,9,110,1353,1458.87,
